gene	PiaoT1	PiaoT2	PiaoT3	PiaoT4	PiaoT5	PiaoT6	PiaoT7	PiaoT8	PiaoT9	CtrlT7	CtrlT8	CtrlT1	CtrlT2	CtrlT9	CtrlT10	CtrlT3	CtrlT4	CtrlT11	CtrlT12	CtrlT5	CtrlT6
ENSGALG00000003389	1.50596	1.89351	1.70076	3.28255	1.92889	1.5754	4.22044	3.11807	1.94104	1.1406	1.08731	1.61052	1.36412	2.0555	1.91209	1.61458	2.29547	2.772	1.60404	1.52041	2.62581
ENSGALG00000012139	15.9278	15.2151	14.8161	15.5019	13.2599	15.9943	15.0809	13.8783	14.6138	14.8513	16.35	15.5771	17.5955	16.7602	15.3113	15.2944	14.2875	16.7177	14.508	15.0033	16.0822
ENSGALG00000000803	0	0	0	0	0	0	0.0925081	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000012132	37.2455	36.4176	36.6546	29.2472	29.9304	31.2586	31.2398	27.8452	30.3744	28.5255	32.9156	32.1853	29.5768	29.8673	28.8487	29.8537	29.514	30.8648	30.1908	30.7308	26.2276
ENSGALG00000012228	6.29498	4.39271	6.24363	12.6521	10.5671	13.6435	6.04399	8.35413	7.12088	3.54758	5.97115	4.31804	4.97993	7.93262	7.65966	7.35319	7.69094	7.83555	4.41213	4.76866	6.52372
ENSGALG00000015090	45.9902	22.6244	25.4105	24.1694	46.2999	39.1453	25.3373	47.3135	25.892	22.4316	41.5647	37.0537	39.7455	22.4244	25.7863	46.2931	38.643	26.3497	42.8956	46.6904	26.4617
ENSGALG00000014787	7.84685	5.17815	4.7698	5.6864	7.59422	7.67774	6.97101	7.18457	5.5514	5.47755	9.05509	8.21156	9.46467	5.41103	5.86147	8.2559	8.98759	6.10289	8.33423	8.66739	5.39241
ENSGALG00000013026	2.51534	2.1732	2.76884	3.28015	3.41272	2.67446	2.83344	2.57943	2.98767	3.11433	2.04333	2.66288	2.31709	3.47158	3.16592	3.59782	3.40609	2.11246	2.6345	1.74689	2.16359
ENSGALG00000002683	12.6038	9.76621	15.6907	13.6382	14.9553	9.21895	13.5564	17.0937	15.5126	14.6724	10.0112	11.2689	16.0253	11.7143	11.2162	13.7344	13.5956	19.7868	15.0381	18.3304	17.356
ENSGALG00000003131	8.50156	5.43906	7.02365	8.65062	6.43895	8.43557	5.11285	5.18695	5.00367	8.04015	8.2899	11.0801	9.1897	9.11135	7.1971	9.78639	6.63167	7.34155	6.56472	7.7167	6.91429
ENSGALG00000022801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000013559	19.1307	21.5437	20.6207	22.2615	23.5254	22.4569	20.0426	19.9703	20.1182	19.2938	20.6792	19.5462	20.5395	21.326	20.9008	21.3023	20.8841	18.4557	19.6606	20.4964	17.8986
ENSGALG00000013839	8.66987	14.2763	9.0811	10.8392	9.63098	3.57729	7.92819	12.4989	8.55156	8.96979	6.66192	10.7383	6.35233	11.8172	9.93209	8.05877	8.39175	11.19	12.2278	11.2583	10.0318
ENSGALG00000026415	1.14647	0.0960257	0	0.903638	0.83116	0	1.02149	1.73936	0.817769	0.917575	0.284837	1.20166	0.704346	0.0489549	0.534097	0.23943	0.578844	0.578977	0	0.0351269	1.07411
ENSGALG00000015647	18.5284	18.908	15.3138	17.5363	16.4357	14.1691	16.394	18.4625	17.4461	15.2122	16.8039	13.8239	17.1617	16.0778	15.8648	18.266	16.1314	15.4116	15.4532	15.0302	13.2327
ENSGALG00000011330	73.72	60.8686	65.0981	83.899	63.598	82.9522	54.1958	65.2347	58.9487	73.2736	78.9048	69.9039	72.2678	73.6954	73.4021	75.1805	65.7543	72.7578	65.1244	58.2762	71.1143
ENSGALG00000008359	11.8741	11.8942	12.2363	12.5675	14.4379	9.9866	17.7824	15.5258	14.0643	12.1349	11.2493	10.4907	10.6253	10.2553	12.0378	11.6126	11.6367	11.0706	11.1289	13.1963	11.8392
ENSGALG00000027224	22.9938	27.5537	22.4466	34.1612	40.1359	32.5659	33.4958	36.2156	34.3443	22.4022	28.521	27.2842	31.4357	30.9856	32.2221	30.3794	34.7031	24.8034	28.0705	30.8231	30.6264
ENSGALG00000010997	18.601	20.7522	21.3263	17.5798	14.6643	22.64	19.6277	19.1088	15.7607	18.6987	15.9517	18.4753	16.0591	16.0059	16.2922	16.2459	16.8781	18.9439	14.8006	19.8742	17.3581
ENSGALG00000016816	7.83282	7.37658	6.91448	5.68645	7.17877	4.24107	5.95758	7.79736	5.19544	8.48651	8.73209	8.76123	9.6289	8.04351	7.34007	9.11347	6.91909	6.89476	6.77552	8.48369	9.24089
ENSGALG00000006317	5.12362	5.13937	6.21079	3.68631	3.86442	3.62425	5.0637	5.16351	5.09466	3.38937	4.93234	6.02161	6.5849	4.68139	4.44576	4.82298	4.05839	5.08517	6.02885	6.91127	5.26869
ENSGALG00000027568	0.198704	0.334497	0.243713	0.288682	0.370809	0.495338	0.326223	0.266801	0.330636	0.350499	0.576039	0.138388	0.365207	0.289448	0.349875	0.589653	0.343933	0.184594	0.615267	0.328241	0.430012
ENSGALG00000002490	116.159	113.151	120.043	100.446	93.3481	89.0825	98.0201	93.7766	96.2289	120.914	114.18	116.267	110.825	105.743	101.874	112.579	96.9692	118.36	106.076	106.469	111.065
ENSGALG00000007096	34.8868	39.0107	36.1852	32.0549	26.7793	30.7986	25.9149	27.7406	28.5916	36.59	36.1688	34.6392	29.374	28.9434	29.3819	32.2782	26.8487	35.7835	33.034	23.1446	29.1427
ENSGALG00000007379	20.4335	21.1411	18.9583	19.4706	20.3434	21.3384	21.1043	23.5327	20.1786	18.994	21.3607	19.3839	20.5297	18.8782	19.5512	20.7751	20.642	20.2998	20.2049	21.4159	21.7675
ENSGALG00000003771	7.50921	6.14113	5.96908	9.67069	6.68768	7.67595	7.27591	7.1462	7.61553	6.39197	6.45826	7.43534	8.40834	8.07515	8.35756	9.1149	9.90623	7.82642	7.34161	8.05249	8.28958
ENSGALG00000015389	0.123188	0.290854	0.076324	0.195492	0.0300206	0.183862	0.0301257	0.0306627	0.0147377	0.282499	0.294705	0.330658	0.335502	0.174361	0.050833	0.259807	0.146563	0.168236	0.085334	0.157506	0.0303754
ENSGALG00000016276	12.2135	11.301	15.7661	17.5305	10.4161	17.8644	11.0302	10.5292	7.02381	11.1766	9.37105	11.0139	10.478	12.6651	12.3433	12.8566	11.7712	14.7623	8.67668	9.28234	12.595
ENSGALG00000006532	13.9195	13.3007	12.0853	11.7588	9.17379	9.42758	9.5229	8.91571	8.48787	12.6789	16.7659	15.3873	14.256	14.9913	11.7348	16.7444	12.6761	10.4477	11.6124	13.9877	13.8472
ENSGALG00000029044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000006186	0.0684314	0.101596	0.0160578	0.285846	0.115474	0.25252	0.0559588	0.056893	0.057056	0.199231	0.184491	0.0611106	0.160524	0.0396673	0.205851	0.164791	0.0814118	0.0183486	0	0.126134	0.166361
ENSGALG00000002844	49.4735	48.1498	47.3198	51.7995	45.3092	49.1802	50.801	50.108	46.2922	48.7908	52.0162	49.9399	49.2418	51.6692	49.314	56.8307	47.0563	49.4454	52.422	52.6362	49.9821
ENSGALG00000012971	0.901827	0.839147	1.08294	1.37649	1.02457	0.995271	1.06135	0.959677	1.67906	0.591655	0.743678	0.904884	0.45741	0.556052	0.91896	0.665963	0.860318	1.00101	1.03395	0.833549	1.26151
ENSGALG00000009265	0	0	0	0	0.0739268	0.10494	0	0.0170154	0	0	0	0.0182761	0	0.0595795	0	0	0	0	0	0	0.0747931
